Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,E-mail 2 - Type,E-mail 2 - Value,E-mail 3 - Type,E-mail 3 - Value,IM 1 - Type,IM 1 - Service,IM 1 - Value,Phone 1 - Type,Phone 1 - Value,Website 1 - Type,Website 1 - Value,Website 2 - Type,Website 2 - Value
Doodle,,,Doodle,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,mailer@doodle.com,,,,,,,,,,,,,
DriveNow,,,DriveNow,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@drive-now.com ::: service@drive-now.com,* ,elisabeth.strunkmann@drive-now.com,,,,,,Work,0800 7234070,,,,
easyJet,,,easyJet,,,,,,,,,,,,,,,,,,,,,,,Logos,,donotreply@mail.easyjet.com ::: info@mail.easyjet.com ::: donotreply@easyjet.com ::: blackhole@easyjet.com ::: bookings@easybus.co.uk,* ,generationeasyJet@email.easyjet.com,,,,,,,,,,,
eBay,,,eBay,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,eBay@reply.ebay.de,,,,,,,,,,,,,
eventim,,,eventim,,,,,,,,,,,,,,,,,,,,,,,Logos,,servicenews@eventim.de ::: kundenservice-eisbaeren-berlin@eventim.de ::: ticketnews@newsletter.eventim.de,* ,bestellstatus@eventim.de,,,,,,,,,,,
finanzblick,,,finanzblick,,,,,,,,,,,,,,,,,,,,,,,Logos,,android@finanzblick.de ::: nichtantworten@finanzblick.de,* Home,support@finanzblick.de,,,,,,,,Profile,http://www.google.com/profiles/103983388027002625615,,
Flinkster / MultiCity,,,Flinkster / MultiCity,,,,,,,,,,,,,,,,,,,,,,,Logos,,no-reply@mailing.flinkster.de,* ,info@flinkster.de,,,,,,,,,,,
GeoKrety,,,GeoKrety,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,geokrety@gmail.com,,,,,,,,,,Profile,http://www.google.com/profiles/100314116846204554033,,
GitHub,,,GitHub,,,,,,,,,,,,,,,,,,,,,,,Logos,,support@github.com,* ,notifications@github.com,,,,,,,,,,,
GOG.com,,,GOG.com,,,,,,,,,,,,,,,,,,,,,,,Logos,,do_not_reply@gog.com,* ,newsletter@gog.com,,,,,,,,,,,
Google,,,Google,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,noreply@google.com,,,,,,,,,,,,,
Google Maps,,,Google Maps,,,,,,,,,,,,,,,,,,,,,,,Logos,,mapmaker-noreply@google.com,* ,google-maps-noreply@google.com,,,,,,,,,,,
Google Play,,,Google Play,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,googleplay-noreply@google.com,,,,,,,,,,,,,
Google Wallet,,,Google Wallet,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@checkout.google.com,* ,noreply@wallet.google.com,,,,,,,,,,,
Heise,,,Heise,,,,,,,,,,,,,,,,,,,,,,,Logos,,abuse@heise.de ::: forumbounce@heise.de,* ,netze@heise.de,,,,,,,,,,,
Hospital Records,,,Hospital Records,,,,,,,,,,,,,,,,,,,,,,,Logos,,shop@hospitalrecords.com,* ,info@hospitalrecords.com,,,,,,,,Profile,http://www.google.com/profiles/103495046114411307568,,
HRS,,,HRS,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@newsletter.hrs.com,* ,office@hrs.de,,,,,,,,,,,
Humble Bundle,,,Humble Bundle,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,contact@humblebundle.com,,,,,,,,,,,,,
IFTTT,,,IFTTT,,,,,,,,,,,,,,,,,,,,,,,Logos,,bot@ifttt.com,* ,alerts@ifttt.com,,,,Google Talk,bot@ifttt.com,,,,,,
IKEA,,,IKEA,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,mail@family-newsletter.de,,,,,,,,,,,,,
Insync,,,Insync,,,,,,,,,,,,,,,,,,,,,,,Logos,,justin@insynchq.com ::: donotreply@insynchq.com ::: prtsc@insync.io,* ,support@insynchq.com,,,,,,,,,,,
IOFF - Das Medienforum,,,IOFF - Das Medienforum,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,admin@ioff.de,,,,,,,,,,,,,
Kickstarter,,,Kickstarter,,,,,,,,,,,,,,,,,,,,,,,Logos,,support@kickstarter.com ::: notification@kickstarter.com,* ,no-reply@kickstarter.com,,,,,,,,,,,
KLM,,,KLM,,,,,,,,,,,,,,,,,,,,,,,Logos,,itinerary@amadeus.com ::: noreply@klm.com ::: emailserver@pop3.amadeus.net ::: emailserver2@pop3.amadeus.net,* ,klm_germany@klm-mail.com,,,,,,,,,,,
LinkedIn,,,LinkedIn,,,,,,,,,,,,,,,,,,,,,,,Logos,,hit-reply@linkedin.com ::: groups-noreply@linkedin.com,* ,member@linkedin.com,,,,,,,,,,,
Magine TV,,,Magine TV,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@magine.com ::: support@magine.com,* ,support-de@magine.zendesk.com,,,,,,,,Home Page,https://magine.com/,Zendesk,https://magine.zendesk.com/
Med School,,,Med School,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,medschoolmusic@emailunlock.com,,,,,,,,,,,,,
MINI,,,MINI,,,,,,,,,,,,,,,,,,,,,,,Logos,,minikundenbetreuung@mini.de,* ,miniberlin@mini.de,,,,,,,,,,,
Mister Spex,,,Mister Spex,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,service@misterspex.de,,,,,,,,,,,,,
moovel,,,moovel,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@moovel.com ::: hallo@info.moovel.com,* ,news@info.moovel.com,,,,,,,,,,,
moviepilot,,,moviepilot,,,,,,,,,,,,,,,,,,,,,,,Logos,,sonse@moviepilot.com ::: keineantwortadresse@moviepilot.de ::: info@moviepilot.com ::: juri@moviepilot.com ::: rochus@moviepilot.com,* ,keineantwortadresse@moviepilot.com,,,,,,,,,,,
MultiCity,,,MultiCity,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@multicity-carsharing.de,* ,service@multicity-carsharing.de,,,,,,,,,,,
MyHeritage,,,MyHeritage,,,,,,,,,,,,,,,,,,,,,,,Logos,,smartmatch2@myheritage.com ::: birth-germany.6577@myheritage.com ::: notify2@myheritage.com ::: recordmatch2@myheritage.com,* ,notification@myheritage.com,,,,,,,,,,,
Netflix,,,Netflix,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@mailer.netflix.com,* ,info@netflix.com,,,,,,,,,,,
OkCupid,,,OkCupid,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,bounces@mail1.oknotify2.com,,,,,,,,,,,,,
OpenCaching DE,,,OpenCaching DE,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@opencaching.de,* ,verein@opencaching.de,,,,,,,,,,,
PEARL,,,PEARL,,,,,,,,,,,,,,,,,,,,,,,Logos,,maria.kern@pearl.de ::: anja.weber@pearl.de ::: kundenbefragung@pearl.de ::: adressservice@pearl.de,* ,stefanie.hofbauer@pearl.de,,,,,,,,,,,
Plex,Plex,,,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Logos,* Work,noreply@plex.tv,,,,,,,,,,,http://www.google.com/profiles/117336216609274144137,,
Pocket,,,Pocket,,,,,,,,,,,,,,,,,,,,,,,Logos,,premium@getpocket.com ::: support@readitlater.com,* ,hello@getpocket.com,,,,,,,,,,,
Quora,,,Quora,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,digest-noreply@quora.com,,,,,,,,,,,,,
S-Bahn-Berlin,,,S-Bahn-Berlin,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@s-bahn-berlin.de ::: s-bahn-news@s-bahn-berlin.de,* ,gewinnspiel@s-bahn-berlin.de,,,,,,,,,,,
Scuba Logbook,,,Scuba Logbook,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,support@scuba-logbook.com,,,,,,,,,,,,,
simyo,,,simyo,,,,,,,,,,,,,,,,,,,,,,,Logos,,no-reply@service.simyo.de ::: simyogramm@newsletter.simyo.de,* ,no-reply@newsletter.simyo.de,,,,,,,,,,,
SIXT,,,SIXT,,,,,,,,,,,,,,,,,,,,,,,Logos,,kundenbetreuung@sixt.com,* ,rechnung@sixt.de,,,,,,,,,,,
Songza,,,Songza,,,,,,,,,,,,,,,,,,,,,,,Logos,,songza-for-android-alpha-testers+noreply@googlegroups.com,* ,noreply@songza.com,,,,,,,,,,,
Steam,,,Steam,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,noreply@steampowered.com,,,,,,,,,,,,,
Synology,Synology,,.,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Logos,* Work,noreply@synology.com,Work,support@synology.com,,,,,,,,Profile,https://plus.google.com/108974354568233793430,,
teltarif,,,teltarif,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,info@teltarif.de,,,,,,,,,,,,,
Tesla Motors,,,Tesla Motors,,,,,,,,,,,,,,,,,,,,,,,Logos,,newsletter@teslamotors.com ::: germany@teslamotors.com ::: Jkrakenbuerger@teslamotors.com ::: bjoern.wegener@teslamotors.com ::: newsletter@e.teslamotors.com ::: bwegener@teslamotors.com ::: lharrach@teslamotors.com ::: mgrebhahn@teslamotors.com,* ,deutschland@teslamotors.com,,,,,,,,,,,
TFL,,,TFL,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,tfl.world@visitbritainshop.com,,,,,,,,,,,,,
TripIt,,,TripIt,,,,,,,,,,,,,,,,,,,,,,,Logos,,support@tripit.com,* ,plans@tripit.com,,,,,,,,,,,
Tumblr,,,Tumblr,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,no-reply@tumblr.com,,,,,,,,,,,,,
Vattenfall Deutschland,Vattenfall Deutschland,,.,,,,,,,,,,,,,,,,,,,,,,,* My Contacts ::: Logos,* Work,noreply@vattenfall.de,Work,service@kundenbetreuung.vattenfall.de,,,,,,,,Profile,https://plus.google.com/117302644939648267730,,
Vibram Deutschland,,,Vibram Deutschland,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@vibram-fivefingers.de,* ,versand@vibram-fivefingers.de,,,,,,,,,,,
Waze,,,Waze,,,,,,,,,,,,,,,,,,,,,,,Logos,,no-reply@waze.com ::: beta@waze.com,* ,donotreply@waze.com,,,,,,,,,,,
WikiTree,WikiTree,,,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@wikitree.com,* ,info@wikitree.com,,,,,,,,,,,
xda-developers,,,xda-developers,,,,,,,,,,,,,,,,,,,,,,,Logos ::: * My Contacts,* Work,webmaster@xda-developers.com,,,,,,,,,,,,,
Xing,,,Xing,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,mailrobot@xing.com,,,,,,,,,,,,,
Yelp,,,Yelp,,,,,,,,,,,,,,,,,,,,,,,Logos,,no-reply@yelp.de ::: feedback@yelp.com,* ,no-reply@yelp.com,,,,,,,,,,,
YouTube,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,noreply@youtube.com,,,,,,,,,,,,,
Zattoo,,,Zattoo,,,,,,,,,,,,,,,,,,,,,,,Logos,,mailings@mailing.zattoo.com,* ,support@zattoo.zendesk.com,,,,,,,,,,,
